Tank,Week,average temp,Fields.Of.View,power,trophic.level,species,functional type,N-fixer,density
25,1,22.377,40,0,P,Gloeocystis,Chlorophycea,no,0
6,1,23.234,40,50,P,Gloeocystis,Chlorophycea,no,4.5
15,1,26.966,40,100,P,Gloeocystis,Chlorophycea,no,0
3,1,27.684,40,150,P,Gloeocystis,Chlorophycea,no,3
29,1,28.328,40,200,P,Gloeocystis,Chlorophycea,no,1.5
17,1,27.356,40,250,P,Gloeocystis,Chlorophycea,no,0
27,1,28.637,40,300,P,Gloeocystis,Chlorophycea,no,3
14,1,29.458,20,350,P,Gloeocystis,Chlorophycea,no,0
1,1,30.023,40,400,P,Gloeocystis,Chlorophycea,no,1.5
8,1,31.976,40,450,P,Gloeocystis,Chlorophycea,no,0
11,1,22.853,40,0,PZ,Gloeocystis,Chlorophycea,no,0
21,1,23.476,40,50,PZ,Gloeocystis,Chlorophycea,no,0
28,1,26.966,40,100,PZ,Gloeocystis,Chlorophycea,no,0
19,1,27.698,40,150,PZ,Gloeocystis,Chlorophycea,no,0
12,1,27.987,40,200,PZ,Gloeocystis,Chlorophycea,no,0
13,1,27.568,40,250,PZ,Gloeocystis,Chlorophycea,no,7.5
22,1,28.035,40,300,PZ,Gloeocystis,Chlorophycea,no,1.5
20,1,29.023,40,350,PZ,Gloeocystis,Chlorophycea,no,4.5
9,1,30.213,40,400,PZ,Gloeocystis,Chlorophycea,no,0
30,1,31.465,40,450,PZ,Gloeocystis,Chlorophycea,no,3
2,1,22.948,40,0,PZN,Gloeocystis,Chlorophycea,no,10.5
24,1,23.687,40,50,PZN,Gloeocystis,Chlorophycea,no,0
5,1,26.945,40,100,PZN,Gloeocystis,Chlorophycea,no,0
16,1,27.012,40,150,PZN,Gloeocystis,Chlorophycea,no,4.5
10,1,26.568,40,200,PZN,Gloeocystis,Chlorophycea,no,1.5
26,1,27.238,40,250,PZN,Gloeocystis,Chlorophycea,no,0
4,1,28.023,40,300,PZN,Gloeocystis,Chlorophycea,no,3
7,1,29.789,40,350,PZN,Gloeocystis,Chlorophycea,no,4.5
23,1,30.123,40,400,PZN,Gloeocystis,Chlorophycea,no,4.5
18,1,31.003,40,450,PZN,Gloeocystis,Chlorophycea,no,3
25,1,22.377,40,0,P,Microcystis,Cyanobacteria,yes,1.5
6,1,23.234,40,50,P,Microcystis,Cyanobacteria,yes,0
15,1,26.966,40,100,P,Microcystis,Cyanobacteria,yes,0
3,1,27.684,40,150,P,Microcystis,Cyanobacteria,yes,0
29,1,28.328,40,200,P,Microcystis,Cyanobacteria,yes,0
17,1,27.356,40,250,P,Microcystis,Cyanobacteria,yes,3
27,1,28.637,40,300,P,Microcystis,Cyanobacteria,yes,1.5
14,1,29.458,20,350,P,Microcystis,Cyanobacteria,yes,0
1,1,30.023,40,400,P,Microcystis,Cyanobacteria,yes,0
8,1,31.976,40,450,P,Microcystis,Cyanobacteria,yes,0
11,1,22.853,40,0,PZ,Microcystis,Cyanobacteria,yes,1.5
21,1,23.476,40,50,PZ,Microcystis,Cyanobacteria,yes,1.5
28,1,26.966,40,100,PZ,Microcystis,Cyanobacteria,yes,0
19,1,27.698,40,150,PZ,Microcystis,Cyanobacteria,yes,0
12,1,27.987,40,200,PZ,Microcystis,Cyanobacteria,yes,0
13,1,27.568,40,250,PZ,Microcystis,Cyanobacteria,yes,0
22,1,28.035,40,300,PZ,Microcystis,Cyanobacteria,yes,1.5
